n;corpus;index;date;year;sender;senderLocation;recipient;recipientLocation;languages;mainLanguage;text
0;Schmitz Joyce;1;08/02/1909;1909;Ettore Schmitz;Trieste;James Joyce;Trieste;ENG;ENG;Trieste, 8th. of February 1909 Dear Mr. Joyce, Really I do not believe of being authorised to tell you the author a resolute opinion about the novel (A Portrait of the Artist as a Young Man) which I could know only partially. I do not only allude to my want of competence but especially to the fact that when you stopped writing you were facing a very important development of Stephen's mind. I have had already a sample of what may be a change of this mind described by your pen. Indeed the development of Stephen's childish religion to a strong religion felt strongly and vigorously or better lived in all its particulars (after his sin) was so important that none other can be more so. I like very much your second and third chapters and I think you made a great mistake doubting whether you would find a reader who could take pleasure at the sermons of the third chapter. I have read them with a very strong feeling and I know in my little town a lot of people who would be certainly struck by the same feeling. Every word of these sermons acquires its artistic significance by the fact of their effect on poor Stephen 's mind. At last the reader has a full knowledge of the education got by Stephen, it could not be fuller even if the two previous chapters had dealt especially with it. I object against the first chapter. I did so when I had read only it but I do so still more decidedly after having known the two others. I think that I have at last also discovered the reason why these two chapters are for me so beautiful while the first one which surely is of the same construction by the same writer who has surely not changed his ways, written evidently with the same artistic aims, fails to impress me as deeply. I think it deals with events deprived of importance and your rigid method of observation and description does  not allow you to enrich a fact which is not rich of itself. You are obliged to write only about strong things. In your skilled hands they may become still stronger. I do not believe you can give the appearance of strength to things which are in themselves feeble, not important. I must say that if you had to write a whole novel with the only aim of description of everyday life without a problem which could affect strongly your own mind (you would not choose such a novel) you would be obliged to leave your method and find ar-tificial colours to lend to the things the life they wanted in themselves. Excuse me, dear Mr. Joyce, these remarks which prove perhaps only   my   conceitedness and believe   me yours  very  truly, Ettore Schmitz 
1;Schmitz Joyce;2;15/06/1910;1910;Ettore Schmitz;Charlton;James Joyce;Trieste;ENG;ENG;Charlton, 15 June  1910 My dear Mr.  Joyce, I am sorry indeed that I could not take leave from you in a proper manner. On Saturday I did not know yet that I had to start so soon. Be so kind to  excuse me. You were so excited over the cynematograph-affair that during the whole travel I remembered your face so startled by such wickedness. And I must add to the remarks I already have done that your surprise at being cheated proves that you are a pure literary man. To be cheated proves not yet enough. But to be cheated and to reveal a great surprise over that and not to consider it as matter of course is really literary. I hope you are now correcting your proofs and not frightened to be cheated by your publisher. Otherwise the book could not be a good one. We are  here   in good health. I am smoking and my wife is enjoying the suave surroundings. By and by she will be caught by her anglomania and you will have at hand time  to  speak to  her against your oppressors. Please  remember  me  most kindly   to your  brother, I am,    dear Mr.  Joyce, Yours  very  truly Ettore Schmitz 
2;Schmitz Joyce;3;26/07/1912;1912;James Joyce;Galway;Ettore Schmitz;Trieste;ENG,ITA;ENG;Hector   Schmitz   Esq[uire] presso la Fabbrica Veneziani Chiarbola Superiore Trieste (Austria) A portrait of the artist as an old man Stephen  Dedalus 26.   VII.   912 
3;Schmitz Joyce;4;26/06/1914;1914;Ettore Schmitz;Trieste;James Joyce;Parigi;ENG;ENG;Trieste, 26 June 1914 Dear Mr. Joyce, Many thanks for your kind present. You may imagine how carefully I shall read the work of my teacher and friend. Surely I shall speak about the new book (Dubliners) with everybody I can suppose capable of being interested with an English work of Irish contents. When will you write an Italian work about our town? Why not? Many thanks also from   my   wife. I hope you will soon offer me the opportunity to talk with you about the many pages of yours I had now the opportunity to read. Do you know that I have now discovered that Dedalus is not only an eyeing and looking animal but that he has also a strongly developed sense for smells? I found this quality was hidden for me behind your awful handwriting which is not much better than mine. Believe me,   dear Mr. Joyce, Yours   truly Ettore Schmitz 
4;Schmitz Joyce;5;05/01/1921;1921;James Joyce;Parigi;Ettore Schmitz;Trieste;ITA,UND;ITA;Boulevard Raspail 5 Parigi VII Caro signor Schmitz: L'episodio di Circe fu finito tempo fa ma quattro dattilografe rifiutarono di copiarmelo. Finalmente si presentò una quinta la quale, però, lavora molto lentamente sicché il lavoro non sarà pronto prima della fine di questo mese. Mi si dice conterrà 170 pagine forma commerciale. L'episodio di Eumeo il quale è quasi finito sarà pronto anche verso la fine del mese. Secondo il piano stabilito dal mio avvocato a Nuova York Ulisse uscirà colà verso i 15 Giugno p.v. in un'edizione privata e limitata a 1500 esemplari, dei quali 750 per l'Europa. Il prezzo sarà di dollari 12.50 risp[ettivamente] 6 sterline l'esemplare. Percepisco 1000 sterline come «tacitazione»! Contemporaneamente però si preparano articoli ed articoli per sfondare la cittadella, non so con quale risultato e poco m'importa. Ora l'importante. Non posso muovermi di qui (come credevo di poter fare) prima di maggio. Infatti da mesi e mesi non vado a letto prima delle 2 o le 3 di mattina, lavorando senza tregua. Avrò presto esaurito gli appunti che portai qui con me per scrivere questi due episodi. C'è a Trieste nel quartiere di mio cognato l'immobile segnato col numero politico e tavolare di Via Sanità, 2, e precisamente situato al terzo piano del suddetto immobile nella camera da letto attualmente occupata da mio fratello, a ridosso dell'immobile in parola e prospettante i postriboli di pubblica insicurezza, una mappa di tela cerata legata con un nastro elastico di colore addome di suora di carità, avente le dimensioni approssimative di cm. 95 per cm. 70. In codesta mappa riposai i segni simbolici dei languidi lampi che talvolta balenarono nell'alma mia. Il peso lordo, senza tara, è stimato a chilogrammi 4.78. Avendo bisogno urgente di questi appunti per l'ultimazione del mio lavoro letterario intitolato Ulisse ossia Sua Mare Grega rivolgo cortese istanza a Lei, colendissimo collega, pregandola di farmi sapere se qualcuno della Sua famiglia si propone di recarsi prossimamente a Parigi, nel quale caso sarei gratissimo se la persona di cui sopra vorrebbe avere la squisitezza di portarmi la mappa indicata a tergo. Dunque, caro signor Schmitz, se ghe xe qualchedun di Suafamiglia che viaggia per ste parti la mi faria un regalo portando quel fagotto che non xe pesante gnanca per sogno parche,   La mi capisse, xe pien de carte che mi go scritto pulido cola pena e qualchevolta anca col bleistiff quando no iera pena. Ma ocio a no sbregar el lastico parche allora nasserà confusion fra le carte. El meio saria de cior na valigia che si poi serrar cola clave che nissun poi verzer. Ne ghe xe tante di ste trappole da vender da Greiniz Neffen rente al «Piccolo» che paga mio fradel el professore della Berlitz Cui. Ogni modo La mi scrìva un per dì parole dai, come la magnemo. Revoltella me ga scritto disendo che xe muli da saminar par zinque fliche ognedun e dopo i xe dotorì de revoltella e che mi vegno là de lu, per dar lori l'aufgabe) par inglese a zinque fliche ma non go risposto parche iera una monada e po' la marca mi vegnaria costar cola carta tre fliche come che xe vale 10 coi bori e mi avanzarla do fliche per cior el treno e magnar e bever tre giorni,    cossa La voi che sia. Saluti cordiali e scusi se il mio cervelletto esaurito si diverte un pochino ogni tanto.  Mi scriva presto, prego. James Joyce 
5;Schmitz Joyce;6;30/01/1924;1924;James Joyce;Parigi;Ettore Schmitz;Trieste;ITA,FRE;ITA;Victoria Palace Hotel 6 rue Blaise des Gojjes Paris Rue de Rennes Caro amico: Sono andato alla stazione ma nessun treno era in arrivo (nemmeno ritardato) all'ora indicatami. Ne ero molto dispiacente. Quando ripasserà per Parigi? Non potrebbe pernottare qui? Grazie del romanzo con la dedica. Ne ho due esemplari anzi avendo già ordinato uno da Trieste. Sto leggendolo con molto piacere. Perché si dispera? Deve sapere eh'è di gran lunga il Suo migliore libro. Quanto alla critica italiana non so. Ma faccia mandare degli esemplari di stampa a 1) M. Valery Larbaud chez « Nouvelle Revue Francaise» 3 rue de Grenelle Paris 2) M. Benjamin Crémieux chez «Revue de France» (troverà l'indirizzo su un esemplare) 3) Mr. T.S. Eliot Editor «Criterion» 9 Clarence Gate Mansion Upper Baker Street London 4) M. F.M. Ford «The Transatlantic Review» 27 Quai d'Angon Paris Parlerò o scriverò in proposito con questi letterati. Potrò scrivere più quando avrò finito. Per ora due cose mi interessano. Il tema: non avrei mai pensato che il fumare potesse dominare una persona in quel modo. Secondo: il trattamento del tempo nel romanzo. L'arguzia non vi manca e vedo che l'ultimo capoverso di Senilità «Si Angiolina pensa e piange ecc..» ha sbocciato grandemente alla chetichella.Tanti  saluti  alla Signora che si  trova costi.   Spero  avremo il  piacere di vedere Loro fra breve. Una stretta di mano James Joyce li 30 gennaio   1924 PS.  anche Mr.     Gilbert Seldes «  The Dia!» New     York 
6;Schmitz Joyce;7;20/11/1924;1924;James Joyce;Parigi;Ettore Schmitz;Trieste;ITA,LAT,FRE;ITA;Victoria  Palace  Hotel 6 rue Blaise des  Goffes Paris rue  de Rennes Caro amico: Mandi i libri senz'altro. Ho già parlato di Lei a Larbaud ed a Crémieux. Faccia il mio nome scrivendo a Seldes ed Eliot. Mandi anche un esemplare a Lauro De Bosis, presso la rivista «La Coltura» Roma ed a Enzo Ferrieri, direttore «Il Convegno» via S. Spirito 24, Milano. Il Suo libro sarà certo apprezzato. Chi non apprezzerà il colendissimo medico dott. Coprossich {sanctificetur nomen suum) che «si lavò anche il viso»? Ma con quel nome che Lei gli ha dato, avrebbe dovuto fare ben altri lavacri! A proposito di nomi: ho dato il nome della Signora alla protagonista del libro che sto scrivendo. La preghi però di non impugnare né armi bianche né quelle di fuoco giacché si tratta della Pirra irlandese (o piuttosto dublinese) la cui capigliatura è il fiume sul quale (si chiama Anna Liffey) sorge la settima città del cristianesimo le sei altre essendo Bassovizza, Clapham Junction, Rena Vecia, Limehouse, S. Odorico nella Valle di Lacrime e S. Giacomo in Monte di Pietà. Mi rimandi dopo letto il ritaglio accluso. Saluti cordiali alla Sua Signora e a Lei stesso. Una stretta di mano James Joyce 
7;Schmitz Joyce;8;01/04/1924;1924;James Joyce;Parigi;Ettore Schmitz;Trieste;ITA,FRE;ITA;Restaurant des Trianons	 Téléphone Ségur 30-67 F. Cassabel	         Paris, le Propriétaire	         5, Place de Rennes (VIe) =	Gare Montparnasse Cuisine Renommée Bonne Cave R. C. Seine 249.091 Caro amico: Buone notizie. M. Valéry Larbaud ha letto il Suo romanzo (La coscienza di Zeno). Gli piace molto. Ne scriverà una recensione nella «Nouvelle Revue Francaise» Ne ha scritto anche ad una sua amica la sig.a Sibilla Aleramo della «Tribuna». Tanti saluti alla Sua Signora ed a Lei una stretta di mano James Joyce 1/4/924 
8;Schmitz Joyce;9;10/06/1924;1924;Ettore Schmitz;Trieste;James Joyce;Parigi;ITA,ENG;ITA;Gioachino Veneziani Telefono n. 152 Indirizzo telegrafico: LAMORAVIA TRIESTE	Trieste li 10 giugno 1924 Caro amico, grazie per la Sua del 6. Mi dispiace tanto di sentire che Lei ha di nuovo bisogno di farsi torturare. Spero di sentire presto che sta bene. Parto domani per Londra. Ringrazi Larbaud da parte mia e gli dica che può fare del mio romanzo tutto, persino tradurlo per intero. (Buona l'idea?). Non scrivo al sig. Larbaud solo per l'esperienza fatta che i letterati hanno in genere una cattiva nursery (almeno gl'italiani) e non usano rispondere. Di quei tre romanzi che mandai ultimamente in Italia pare nessuno sia giunto a destinazione. Io ho il grande torto di occuparmi ancora del mio romanzo. Tanto più che lo faccio solo col Suo intervento e che Lei a questo mondo fra soddisfazioni e seccature grandi (quella dell'operazione) ha già abbastanza da fare. Fatto questo passo presso il sig. Larbaud, lasciamolo correre ambedue (il romanzo). Mi sono procurato 1' Ulisse. Al mio ritorno lo leggerò capitolo per capitolo tentando di viverlo. Ho la promessa di Suo fratello che dopo ogni capitolo lavorato a fondo mi concederà la sua assistenza. Credo che dopo di Lei non potevo trovare un assistente migliore. Io spero che a Londra non dovrò rimanere che 4 settimane]. Saluti cordiali anche alla Sua Signora ed anche da parte di mia moglie. Suo devotissimo Ettore Schmitz A proposito di Suo fratello. Mi disse che fra poco Le scriverà. Sta benissimo e mi consegnò due giornali che di Lei parlano. 
9;Schmitz Joyce;10;22/12/1924;1924;James Joyce;Parigi;Ettore Schmitz;Trieste;ITA,FRE;ITA;Monsieur Ettore Schmitz e Famiglia presso la Fabbrica Veneziani Chiarbola Superiore Trieste (Italie) 8,   Avenue   Charles Floquet Paris VII Buon Natale e ogni bene augura a Lei ed a tutta la famiglia dal quartetto triestino (James, la mogie Nora Barnacle, i figli Giorgio e Lucia Anna) James Joyce Paris   22.12.924 
